,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,327,0,0,6,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,131,0,0,0,0,1,0,0,0,0,0
legato,0,6,0,0,1671,0,0,0,0,0,0,0,1,2
muted,0,0,0,0,0,137,0,0,1,0,0,0,0,0
palmstrike,0,0,0,0,0,0,140,0,0,0,5,0,0,0
scratch,0,0,1,2,0,1,0,137,1,0,0,19,4,0
snap-pizz,0,0,0,0,0,1,0,0,137,0,0,0,0,0
staccato,0,0,0,3,1,0,0,0,5,158,0,0,0,0
sustained,0,101,0,0,0,0,5,4,0,0,1935,0,0,2
tremolo,0,0,7,0,0,0,0,0,0,0,0,291,104,12
trill,0,0,2,0,0,0,0,1,1,0,0,10,315,3
vibrato,0,43,0,0,2,0,0,0,0,0,11,0,0,616
