,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,332,0,0,1,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,131,0,1,0,0,0,0,0,0,0,0
legato,0,10,0,0,1662,0,0,0,0,0,4,0,0,4
muted,0,0,0,0,0,137,0,0,0,1,0,0,0,0
palmstrike,0,0,0,0,0,0,145,0,0,0,0,0,0,0
scratch,0,0,13,4,0,3,2,122,0,0,0,12,9,0
snap-pizz,0,0,0,0,0,1,0,0,137,0,0,0,0,0
staccato,0,0,0,0,0,0,0,0,7,160,0,0,0,0
sustained,0,33,0,0,0,0,5,0,0,0,2006,0,0,3
tremolo,0,0,0,0,0,0,0,0,0,0,0,411,3,0
trill,0,0,0,0,0,0,0,0,0,0,1,0,331,0
vibrato,0,15,1,0,0,0,0,0,0,0,8,0,0,648
