,behind-nut,bend,bottleneck,glissando,legato,muted,palmstrike,scratch,snap-pizz,staccato,sustained,tremolo,trill,vibrato
behind-nut,16,0,0,0,0,0,0,0,0,0,0,0,0,0
bend,0,332,0,0,1,0,0,0,0,0,0,0,0,0
bottleneck,0,0,57,0,0,0,0,0,0,0,0,0,0,0
glissando,0,0,0,132,0,0,0,0,0,0,0,0,0,0
legato,0,2,0,0,1678,0,0,0,0,0,0,0,0,0
muted,0,0,0,0,0,136,0,0,1,1,0,0,0,0
palmstrike,0,0,0,0,0,0,141,0,0,0,4,0,0,0
scratch,0,0,5,2,0,0,0,149,0,0,0,7,2,0
snap-pizz,0,0,0,0,0,0,0,0,138,0,0,0,0,0
staccato,0,0,0,0,0,0,0,0,3,164,0,0,0,0
sustained,0,13,0,0,0,0,0,3,0,0,2031,0,0,0
tremolo,0,0,0,0,0,0,0,0,0,0,0,408,6,0
trill,0,0,2,0,0,0,0,1,0,0,0,0,329,0
vibrato,0,18,0,0,1,0,0,0,0,0,11,0,0,642
